년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
Sep.29,108,18.8,8.6,28.5
Oct.29,108,12.8,-1,28.4
Nov.29,108,4.9,-8.7,17.5
Dec.29,108,1.5,-16.8,14.4
Sep.30,108,19.5,7.6,29.1
Oct.30,108,14,3.8,25.5
Nov.30,108,3.1,-8.5,16.8
Dec.30,108,-0.8,-12.5,11
Sep.31,108,20,7.7,31.4
Oct.31,108,11.9,-3,27.7
Nov.31,108,7.7,-7.1,20.2
Dec.31,108,-1,-14.7,12.7
Sep.32,108,20.2,12.6,29.5
Oct.32,108,12.2,0.3,26.5
Nov.32,108,5.8,-6.5,22.5
Dec.32,108,0.6,-11.4,12.5
Sep.33,108,20.1,6.5,30.2
Oct.33,108,13,1.4,25.8
Nov.33,108,5.5,-5,16.3
Dec.33,108,0.4,-10.5,12.7
Sep.34,108,19.3,9.5,29
Oct.34,108,11.7,-0.8,23.3
Nov.34,108,4.3,-9.2,14.5
Dec.34,108,0.8,-8.7,9.5
Sep.35,108,20.3,6.1,33
Oct.35,108,14.6,3.3,25.4
Nov.35,108,6.6,-6,20.2
Dec.35,108,-3.9,-16.9,12.5
Sep.36,108,20.1,10,29.7
Oct.36,108,13.2,0.8,24.7
Nov.36,108,5.7,-7.7,17.4
Dec.36,108,-0.5,-9.3,14.6
Sep.37,108,20.3,7.3,29.8
Oct.37,108,13.8,-0.5,26.9
Nov.37,108,7.2,-6,22.1
Dec.37,108,-3.9,-16,11.1
Sep.38,108,19.3,9.5,32.1
Oct.38,108,15,3.7,27.8
Nov.38,108,4.8,-6.5,19.5
Dec.38,108,-2.3,-15.7,11.8
Sep.39,108,21,5.7,35.1
Oct.39,108,14.3,-1.6,29.3
Nov.39,108,5.9,-10.2,20.2
Dec.39,108,-0.9,-13.6,8.6
Sep.40,108,19.9,9.3,30.2
Oct.40,108,14.7,0.2,28.5
Nov.40,108,6.8,-5.5,25.2
Dec.40,108,-0.2,-10.6,11.8
Sep.41,108,19.7,10.7,31.1
Oct.41,108,12.9,-1.6,26.9
Nov.41,108,7.7,-8.8,19.6
Dec.41,108,0.4,-13.6,11.4
Sep.42,108,20,8.1,32.7
Oct.42,108,12.5,-5.1,27.5
Nov.42,108,4.7,-11.1,21.3
Dec.42,108,-1.2,-15.4,11
Sep.43,108,20.9,8.5,33.4
Oct.43,108,13.8,1.8,25.3
Nov.43,108,6.1,-9.2,22.7
Dec.43,108,0,-11.6,14.2
Sep.44,108,20.7,10.1,30.5
Oct.44,108,13.5,1.8,25.8
Nov.44,108,7.8,-4.1,23.4
Dec.44,108,-5.7,-15.5,7.2
Sep.45,108,21.3,12.6,30
Oct.45,108,13.5,0,25.3
Nov.45,108,8.4,-4.2,21.8
Dec.45,108,-1.7,-14,12.7
Sep.46,108,19.9,9.2,30.7
Oct.46,108,13.8,0.4,29.9
Nov.46,108,8.8,-7.3,22.1
Dec.46,108,-4.3,-17,8.7
Sep.47,108,19.6,10.1,29.9
Oct.47,108,11.8,-1.6,24.7
Nov.47,108,3.5,-11.8,17.9
Dec.47,108,-5.4,-17.3,7.1
Sep.48,108,20.2,10.2,33.6
Oct.48,108,13.3,-0.8,26.5
Nov.48,108,5.1,-8.7,18.2
Dec.48,108,3.8,-7.7,12.9
Sep.49,108,20.8,12,31.3
Oct.49,108,13.9,-1.7,25.1
Nov.49,108,7,-7.6,18.9
Dec.49,108,-1.3,-14.9,16.4
Dec.53,108,0.6,-9.2,16.2
Sep.54,108,20.3,10.2,30
Oct.54,108,12.5,0.8,25
Nov.54,108,9.5,-2.4,19.1
Dec.54,108,-2.7,-12.5,10.9
Sep.55,108,20.7,11,32.3
Oct.55,108,12.6,1.3,27.3
Nov.55,108,5.9,-4.1,18.3
Dec.55,108,0.6,-9.7,12.9
Sep.56,108,20.4,7.5,30.3
Oct.56,108,12.8,-1.1,24.9
Nov.56,108,3.2,-8.8,20.6
Dec.56,108,-5.2,-15.1,8.9
Sep.57,108,18.9,6.6,29
Oct.57,108,12.5,-0.4,27.2
Nov.57,108,8.3,-5.8,17.5
Dec.57,108,-0.5,-10.6,9.6
Sep.58,108,19.8,6.6,28.8
Oct.58,108,12.7,-1.8,25
Nov.58,108,6.7,-3.3,18.9
Dec.58,108,4,-3.2,12.1
Sep.59,108,20.8,12.4,30.2
Oct.59,108,14.8,1.9,27.3
Nov.59,108,5.8,-5.5,19.5
Dec.59,108,1.1,-12.9,14.3
Sep.60,108,20.8,12.3,31.3
Oct.60,108,15.1,5.4,25.7
Nov.60,108,7.1,-11.2,18
Dec.60,108,-1.8,-16,11.6
Sep.61,108,21.5,10.4,31.7
Oct.61,108,15.6,3.3,25.8
Nov.61,108,8.9,-3.5,20.4
Dec.61,108,-0.6,-12.5,13
Sep.62,108,20.3,8.5,29.8
Oct.62,108,13.6,1.5,25.6
Nov.62,108,6.4,-7.7,20.8
Dec.62,108,1.1,-11.5,12.5
Sep.63,108,20.5,10.4,30.2
Oct.63,108,13.5,2,24.4
Nov.63,108,6.5,-7.2,20.5
Dec.63,108,0.8,-13.2,12.2
Sep.64,108,20.3,11,30
Oct.64,108,13.8,1.1,25.9
Nov.64,108,6.3,-6,15.6
Dec.64,108,0.2,-10.6,12.2
Sep.65,108,20.9,10,31
Oct.65,108,14.8,4.2,29.2
Nov.65,108,7,-5.8,20.8
Dec.65,108,-2,-18.2,12.6
Sep.66,108,19.7,10.4,28.4
Oct.66,108,14.4,0.4,26
Nov.66,108,5.9,-10.7,20.6
Dec.66,108,-3,-15.2,10.6
Sep.67,108,20.7,11.4,31.4
Oct.67,108,14.5,4.8,23.7
Nov.67,108,6.5,-5.2,19.2
Dec.67,108,-4.9,-17.4,6.4
Sep.68,108,20.9,8.7,31.4
Oct.68,108,13,3.3,27.4
Nov.68,108,7.6,-6.7,20.6
Dec.68,108,3.1,-11,17.7
Sep.69,108,20.8,12.9,30
Oct.69,108,13.9,3.2,24.4
Nov.69,108,5,-5.6,17.8
Dec.69,108,-2,-14.9,13.6
Sep.70,108,21.2,7.9,31.2
Oct.70,108,14.9,0.5,25.6
Nov.70,108,5.7,-11.9,18.2
Dec.70,108,-1,-11.2,11.6
Sep.71,108,20.6,9.7,29.6
Oct.71,108,13,2.5,24.1
Nov.71,108,8.7,-8.8,21.3
Dec.71,108,-1.2,-10,11.5
Sep.72,108,19,9.5,27.2
Oct.72,108,13.8,0.5,26
Nov.72,108,5.2,-8.1,18.7
Dec.72,108,0.6,-12,12
Sep.73,108,20.3,8.3,28.6
Oct.73,108,13,2.2,24.9
Nov.73,108,4.7,-7.1,16.9
Dec.73,108,-3,-17.4,10.8
Sep.74,108,20.6,11.2,29.9
Oct.74,108,12.6,0,23.2
Nov.74,108,5.4,-4.8,20.3
Dec.74,108,-0.5,-10.2,10.3
Sep.75,108,22.6,13.6,31.5
Oct.75,108,15.4,5.4,25.6
Nov.75,108,9,-6.4,20.7
Dec.75,108,-1.6,-10.8,14.8
Sep.76,108,19.9,11,30.2
Oct.76,108,13.7,-1.5,25.1
Nov.76,108,3.5,-6.3,19.4
Dec.76,108,0.4,-18.5,12.2
Sep.77,108,21.5,8.8,31.1
Oct.77,108,16.7,5.6,28.8
Nov.77,108,7.6,-4.3,20.2
Dec.77,108,2.4,-9.4,13.7
Sep.78,108,20.9,13.4,30.6
Oct.78,108,14.5,4.2,29.2
Nov.78,108,7.9,-5,18.2
Dec.78,108,1.6,-10.7,14.6
Sep.79,108,20.1,8.9,29.7
Oct.79,108,15.9,2.9,26.3
Nov.79,108,5.7,-11.1,23.5
Dec.79,108,1.4,-10.7,11.7
Sep.80,108,19.6,8.1,29
Oct.80,108,13,0,25.6
Nov.80,108,8.6,-1.7,19.8
Dec.80,108,-3.8,-16.2,12
Sep.81,108,20,11.6,29
Oct.81,108,13.4,0.6,23.3
Nov.81,108,3.6,-7,13.6
Dec.81,108,0.1,-11,10.2
Sep.82,108,20.8,9.9,30.9
Oct.82,108,15.8,-1.1,28.2
Nov.82,108,7.9,-7.1,21.4
Dec.82,108,-0.1,-9.8,10.6
Sep.83,108,22,11.9,31.5
Oct.83,108,14.2,2,23.7
Nov.83,108,6.7,-6,18.5
Dec.83,108,-1.1,-13.5,11.7
Sep.84,108,20.1,10.1,28.7
Oct.84,108,13.8,1.2,25.7
Nov.84,108,8.1,-5.7,21.2
Dec.84,108,-0.9,-12.8,14.5
Sep.85,108,20.2,10.1,30.1
Oct.85,108,14.7,4.4,25.7
Nov.85,108,5.6,-4.6,18.8
Dec.85,108,-3.4,-13.6,8.2
Sep.86,108,19.9,10.2,31
Oct.86,108,12.7,-0.5,23.9
Nov.86,108,5.2,-5.7,16.2
Dec.86,108,1.9,-9.7,13.2
Sep.87,108,20.1,6.3,28.6
Oct.87,108,15.5,2.6,27.3
Nov.87,108,7.5,-9.2,19
Dec.87,108,0.9,-10.6,11.8
Sep.88,108,21.4,11,30.8
Oct.88,108,15,2.2,25.6
Nov.88,108,5.5,-5.6,17.9
Dec.88,108,0.1,-12.2,13.9
Sep.89,108,20.7,10.3,29.5
Oct.89,108,13.6,1.9,23.7
Nov.89,108,7.1,-6.3,17.4
Dec.89,108,1.4,-8.7,14.7
Sep.90,108,21.1,10.2,31.1
Oct.90,108,15.4,6.1,27.1
Nov.90,108,10,-4.9,21.9
Dec.90,108,0.8,-12.9,13.8
Sep.91,108,21.1,10.1,31
Oct.91,108,13.8,4.1,25.8
Nov.91,108,6.5,-4,17.6
Dec.91,108,2.2,-11.1,12.9
Sep.92,108,20.9,9.3,30.9
Oct.92,108,14,4,25.1
Nov.92,108,6.2,-9,17.2
Dec.92,108,1.5,-9.7,13.3
Sep.93,108,21.2,10.8,30.5
Oct.93,108,13.4,0.6,25
Nov.93,108,8.5,-9,20.9
Dec.93,108,-0.2,-11.2,10
Sep.94,108,21,12.1,32
Oct.94,108,15.2,3.2,25.9
Nov.94,108,9.3,-2.2,19.8
Dec.94,108,1.1,-12.6,12.4
Sep.95,108,20,10.7,28.4
Oct.95,108,15.5,4.2,25.6
Nov.95,108,6.2,-4.3,18.6
Dec.95,108,-1,-10.3,6.9
Sep.96,108,22,11.6,30.9
Oct.96,108,14.5,-0.4,23.8
Nov.96,108,6.1,-8,18.8
Dec.96,108,1.6,-10.5,12.7
Sep.97,108,20.2,10.3,31.9
Oct.97,108,13.4,-2,26.3
Nov.97,108,8.8,-3.2,20.2
Dec.97,108,1.8,-11.3,12.8
Sep.98,108,23,15.4,32.8
Oct.98,108,17,4.9,26.5
Nov.98,108,7.3,-6.8,20.5
Dec.98,108,2.3,-8.1,12.9
Sep.99,108,22.9,12.8,32
Oct.99,108,14.3,1.5,24
Nov.99,108,7.9,-6.1,18.6
Dec.99,108,0.4,-11.5,12
Sep.00,108,20.7,11.9,31
Oct.00,108,14.9,3.5,26.5
Nov.00,108,7,-3.8,20.3
Dec.00,108,0.9,-11.4,11.9
Sep.01,108,22.5,11,31.7
Oct.01,108,16.5,8.8,25.3
Nov.01,108,7,-3.1,16
Dec.01,108,-0.6,-8.8,10.9
Sep.02,108,21.6,13.5,30.6
Oct.02,108,12.8,-0.3,24.9
Nov.02,108,4,-4.8,16.7
Dec.02,108,1.7,-9.1,15.9
Sep.03,108,20.9,13.8,28.7
Oct.03,108,13.9,2.7,26
Nov.03,108,9.5,-3.2,21.3
Dec.03,108,0.7,-8.1,12
Sep.04,108,21.7,12.8,31.3
Oct.04,108,15.2,5.3,25.6
Nov.04,108,9.1,0.2,21.5
Dec.04,108,1.9,-8.3,16.2
Sep.05,108,21.8,13.8,30.8
Oct.05,108,14.7,3,24.9
Nov.05,108,8.6,-1.1,21.8
Dec.05,108,-3.9,-14,11.1
Sep.06,108,21.1,11.3,30.3
Oct.06,108,17.9,7.9,27.5
Nov.06,108,8.4,-1.3,20.2
Dec.06,108,1.4,-12.3,12.6
Sep.07,108,21.5,14.1,31.1
Oct.07,108,15.1,3.2,26.2
Nov.07,108,6.7,-5.5,19.3
Dec.07,108,1.8,-7.4,13.8
Sep.08,108,22,10.3,32
Oct.08,108,16.1,5.6,28.3
Nov.08,108,7.6,-7.2,18.4
Dec.08,108,1.1,-13.1,13.3
Sep.09,108,21.8,14.4,29.9
Oct.09,108,16,6.2,26.4
Nov.09,108,6.9,-4.3,21.8
Dec.09,108,-1,-12.9,10.1
Sep.10,108,21.8,8.4,31.4
Oct.10,108,14.5,0.7,24.2
Nov.10,108,6.5,-5.2,17.4
Dec.10,108,-1.3,-15.1,13.5
Sep.11,108,21.8,10.3,32.4
Oct.11,108,14.2,3.1,23.4
Nov.11,108,10.7,-5.5,25.9
Dec.11,108,-0.9,-10.6,9.1
Sep.12,108,21,12,29.5
Oct.12,108,15.3,2.8,26
Nov.12,108,5.5,-3,15.7
Dec.12,108,-4.1,-14.5,8.3
Sep.13,108,21.8,10.9,31.1
Oct.13,108,15.8,4.3,28.1
Nov.13,108,6.2,-6.4,20.7
Dec.13,108,-0.2,-9.8,11
Sep.14,108,22.1,14.9,31.3
Oct.14,108,15.6,2.7,29
Nov.14,108,9,-3.1,22.9
Dec.14,108,-2.9,-13.2,7.9
Sep.15,108,22.4,14.2,31
Oct.15,108,15.5,1.1,26.6
Nov.15,108,8.9,-7.3,21
Dec.15,108,1.6,-9.5,12.2
Sep.16,108,23.1,14.3,31.1
Oct.16,108,16.1,0.7,29
Nov.16,108,6.8,-6.2,18.6
Dec.16,108,1.2,-9.8,13.6
Sep.17,108,22.1,11.2,31.4
Oct.17,108,16.4,2.5,29.4
Nov.17,108,5.6,-6.6,18.4
Dec.17,108,-1.9,-12.3,8.7
Sep.18,108,21.5,10.8,30.9
Oct.18,108,13.1,0.7,25.6
Nov.18,108,7.8,-3.1,19.4
Dec.18,108,-0.6,-14.4,13.5
Sep.19,108,22.6,13.6,30.5
Oct.19,108,16.4,4.7,28.2
Nov.19,108,7.6,-4.6,22.1
Dec.19,108,1.4,-10.9,12.9
Sep.20,108,21.4,13.6,29.5
Oct.20,108,14.3,3.2,23.6
Nov.20,108,8,-3.6,20
Dec.20,108,-0.3,-12.9,11.4
Sep.21,108,22.6,16,30.3
Oct.21,108,15.6,1.3,28.8
Nov.21,108,8.2,-3.7,21.3
Dec.21,108,0.6,-15.5,13.3
Sep.22,108,,16.7,32.5
